,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,30.45,30.7,30.3,30.4,30.35,30.4,68019,2072641.3,11-OCT-2013,810,INE144J01027
1,3IINFOTECH,BE,5.7,5.8,5.4,5.7,5.65,5.65,325689,1834425.95,11-OCT-2013,442,INE748C01020
2,3MINDIA,EQ,3123.0,3123.0,3055.0,3070.0,3070.0,3090.0,469,1443832.1,11-OCT-2013,80,INE470A01017
3,A2ZMES,EQ,9.65,9.9,9.55,9.6,9.6,9.6,141236,1367489.3,11-OCT-2013,439,INE619I01012
4,AARTIDRUGS,EQ,187.95,189.0,186.0,187.15,188.0,185.8,3132,587193.5,11-OCT-2013,100,INE767A01016
5,AARTIIND,EQ,75.5,79.0,73.5,75.15,75.0,76.15,16935,1277785.0,11-OCT-2013,190,INE769A01020
6,AARVEEDEN,EQ,36.95,36.95,34.0,35.1,35.1,34.15,5157,179532.8,11-OCT-2013,154,INE273D01019
7,ABAN,EQ,241.0,241.7,231.15,233.9,233.7,238.7,472853,111515614.65,11-OCT-2013,10226,INE421A01028
8,ABB,EQ,545.0,566.95,545.0,561.25,560.0,543.05,203708,114119600.15,11-OCT-2013,8129,INE117A01022
9,ABBOTINDIA,EQ,1408.8,1408.8,1362.05,1370.5,1372.0,1389.3,1300,1792134.7,11-OCT-2013,264,INE358A01014
10,ABCIL,BE,88.0,88.9,87.0,88.7,88.9,85.1,2362,207775.45,11-OCT-2013,22,INE605B01016
11,ABGSHIP,EQ,319.4,319.95,309.1,313.3,309.35,313.15,101565,31873130.05,11-OCT-2013,2066,INE067H01016
12,ABIRLANUVO,EQ,1285.0,1285.0,1247.1,1253.15,1254.95,1271.6,104252,131095437.2,11-OCT-2013,8247,INE069A01017
13,ACC,EQ,1140.0,1146.55,1115.1,1127.0,1123.05,1129.85,82059,92511639.75,11-OCT-2013,4976,INE012A01025
14,ACCELYA,EQ,622.05,635.0,619.05,628.6,630.0,618.65,13949,8740895.45,11-OCT-2013,374,INE793A01012
15,ACE,EQ,11.3,11.8,10.4,11.6,11.5,11.15,608156,6855044.85,11-OCT-2013,2001,INE731H01025
16,ACROPETAL,BE,5.35,5.35,5.0,5.05,5.05,5.2,3978,20146.5,11-OCT-2013,22,INE055L01013
17,ADANIENT,EQ,159.1,167.0,155.4,164.3,166.6,157.15,1602443,258716453.5,11-OCT-2013,20479,INE423A01024
18,ADANIPORTS,EQ,144.1,151.8,144.1,150.4,150.0,145.8,5286940,789465019.15,11-OCT-2013,18868,INE742F01042
19,ADANIPOWER,EQ,35.2,35.5,34.35,35.1,35.05,35.2,2341929,82093265.6,11-OCT-2013,7150,INE814H01011
20,ADFFOODS,EQ,46.05,48.0,46.05,46.65,46.85,46.7,1351,63201.2,11-OCT-2013,48,INE982B01019
21,ADHUNIK,BE,26.8,28.1,26.8,27.45,27.4,27.35,11852,324349.05,11-OCT-2013,65,INE400H01019
22,ADORWELD,EQ,102.95,103.75,101.6,102.25,101.6,101.9,3159,325176.55,11-OCT-2013,354,INE045A01017
23,ADSL,BE,20.05,20.95,19.5,20.05,19.9,20.1,10625,212542.0,11-OCT-2013,113,INE102I01027
24,ADVANTA,EQ,123.75,126.5,123.25,123.8,124.7,123.0,6385,795340.1,11-OCT-2013,206,INE517H01028
25,AEGISCHEM,EQ,142.5,144.0,138.45,142.5,142.0,139.0,12885,1821761.85,11-OCT-2013,819,INE208C01017
26,AFL,EQ,18.4,19.8,18.35,18.65,18.7,18.6,2119,39829.85,11-OCT-2013,155,INE020G01017
27,AFTEK,BE,3.35,3.5,3.35,3.45,3.5,3.35,64137,222017.55,11-OCT-2013,107,INE796A01023
28,AGCNET,EQ,83.4,85.65,80.55,82.0,82.0,82.95,2080,173295.1,11-OCT-2013,71,INE676A01019
29,AGRODUTCH,EQ,2.0,2.1,2.0,2.1,2.1,2.0,790,1640.0,11-OCT-2013,3,INE135B01014
30,AHLEAST,EQ,120.65,120.65,120.65,120.65,120.65,121.0,70,8445.5,11-OCT-2013,2,INE926K01017
31,AHLUCONT,EQ,20.85,21.55,20.0,21.4,21.4,19.6,24510,524535.0,11-OCT-2013,167,INE758C01029
32,AHLWEST,EQ,95.1,100.0,95.1,100.0,100.0,96.0,640,63443.5,11-OCT-2013,3,INE915K01010
33,AHMEDFORGE,EQ,85.3,88.5,85.3,87.85,87.7,85.15,12991,1136543.65,11-OCT-2013,279,INE425A01011
34,AIAENG,EQ,373.0,411.7,362.05,391.45,395.25,366.25,140686,55182664.95,11-OCT-2013,3044,INE212H01026
35,AIL,EQ,355.55,355.55,346.0,350.55,350.0,353.6,32657,11439337.9,11-OCT-2013,502,INE878A01011
36,AJANTPHARM,EQ,732.0,751.0,731.0,734.5,733.6,732.05,76843,57107082.4,11-OCT-2013,4039,INE031B01031
37,AJMERA,EQ,61.05,61.85,59.2,59.45,59.45,61.5,27404,1656856.1,11-OCT-2013,512,INE298G01027
38,AKSHOPTFBR,EQ,15.45,15.6,14.95,15.05,15.0,14.9,35701,539592.6,11-OCT-2013,239,INE523B01011
39,AKZOINDIA,EQ,848.95,890.0,842.05,852.2,845.0,842.45,7900,6833220.0,11-OCT-2013,671,INE133A01011
40,ALBK,EQ,82.0,83.85,81.1,83.1,82.8,80.95,2239957,185207639.75,11-OCT-2013,14887,INE428A01015
41,ALCHEM,EQ,35.25,37.95,35.25,37.5,37.95,36.65,5329,196848.4,11-OCT-2013,178,INE964B01033
42,ALEMBICLTD,EQ,13.6,13.75,13.2,13.3,13.4,13.5,119804,1614938.3,11-OCT-2013,545,INE426A01027
43,ALICON,EQ,55.75,55.75,55.75,55.75,55.75,53.1,20,1115.0,11-OCT-2013,1,INE062D01024
44,ALKALI,EQ,15.75,16.15,15.75,15.8,15.8,15.75,2269,36066.25,11-OCT-2013,72,INE773I01017
